epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,477.311,1.07745,1.71414,0.83128,1.1419,0,0.67347,0.60199,0.64883,0.36758,0.73818,0.58209,0.65576,0.36651,1.56044,2.78826,1.33744,1.47673,0,0.0008912,0.0008912,0.0008912
30,493.475,1.06516,1.71169,0.819,1.13385,0,0.70719,0.63682,0.67681,0.40224,0.71607,0.66667,0.69282,0.3831,1.50842,2.80278,1.25298,1.44227,0,0.0008516,0.0008516,0.0008516
31,509.591,1.04512,1.6893,0.79256,1.11935,0,0.70425,0.58051,0.66236,0.39084,0.74279,0.54598,0.66362,0.38425,1.48542,2.71173,1.39926,1.4083,0,0.000812,0.000812,0.000812
32,525.351,1.04976,1.67689,0.78319,1.14735,0,0.68069,0.69154,0.68294,0.40456,0.69222,0.70149,0.69146,0.38035,1.44049,2.70236,1.19098,1.3903,0,0.0007724,0.0007724,0.0007724
33,541.283,1.00931,1.61465,0.74567,1.11849,0,0.71429,0.60697,0.67171,0.39373,0.72732,0.62687,0.68907,0.37661,1.46697,2.88011,1.28427,1.39164,0,0.0007328,0.0007328,0.0007328
34,557.178,1.02323,1.65637,0.75512,1.10979,0,0.69227,0.64915,0.6484,0.37592,0.68697,0.64417,0.64876,0.3518,1.48379,2.74313,1.28142,1.40505,0,0.0006932,0.0006932,0.0006932
35,572.877,0.99576,1.65791,0.75997,1.10901,0,0.62872,0.66557,0.67318,0.39937,0.6792,0.65308,0.69657,0.38014,1.44769,2.58217,1.30257,1.37915,0,0.0006536,0.0006536,0.0006536
36,588.393,1.00318,1.62079,0.72782,1.10468,0,0.6794,0.63184,0.68351,0.41823,0.68899,0.65174,0.70033,0.39902,1.43615,2.48635,1.23127,1.4048,0,0.000614,0.000614,0.000614
37,604.48,0.95577,1.5652,0.71044,1.0919,0,0.66388,0.63682,0.65171,0.39563,0.67426,0.64677,0.66618,0.37223,1.41897,2.66903,1.29398,1.36294,0,0.0005744,0.0005744,0.0005744
38,620.504,0.97971,1.57954,0.71546,1.09422,0,0.71677,0.64212,0.71422,0.42477,0.72347,0.65672,0.72218,0.41113,1.43238,2.45811,1.2498,1.37436,0,0.0005348,0.0005348,0.0005348
39,636.571,0.97144,1.56517,0.70035,1.09681,0,0.74983,0.59204,0.70827,0.43705,0.75123,0.60097,0.71692,0.41754,1.39343,2.56236,1.22347,1.33981,0,0.0004952,0.0004952,0.0004952
40,652.453,0.95176,1.53943,0.70604,1.08708,0,0.81898,0.61692,0.74086,0.44102,0.82558,0.62189,0.7567,0.43556,1.39849,2.46631,1.14722,1.34009,0,0.0004556,0.0004556,0.0004556
41,691.066,0.93343,1.53552,0.64459,1.08848,0,0.70327,0.59204,0.66653,0.39626,0.70432,0.59701,0.67538,0.38646,1.51178,2.44063,1.34696,1.43707,0,0.000416,0.000416,0.000416
42,706.373,0.89889,1.46515,0.59592,1.05801,0,0.69937,0.64816,0.72076,0.43574,0.71724,0.67164,0.74034,0.42616,1.39035,2.54791,1.13202,1.34354,0,0.0003764,0.0003764,0.0003764
43,722.287,0.88551,1.42685,0.57064,1.05382,0,0.68749,0.62687,0.69829,0.42155,0.6987,0.63682,0.68947,0.38776,1.43924,2.59825,1.19532,1.37505,0,0.0003368,0.0003368,0.0003368
44,738.03,0.84345,1.40059,0.54619,1.02495,0,0.69582,0.64869,0.71366,0.43333,0.71452,0.67241,0.73302,0.41044,1.43598,2.60483,1.13865,1.37205,0,0.0002972,0.0002972,0.0002972
45,753.665,0.83419,1.40078,0.54759,1.01911,0,0.65098,0.70523,0.7399,0.44919,0.65557,0.7102,0.73887,0.42592,1.42812,2.54045,1.15479,1.36796,0,0.0002576,0.0002576,0.0002576
46,769.049,0.81369,1.38372,0.52652,1.01257,0,0.71357,0.64179,0.71948,0.4357,0.74658,0.63184,0.74132,0.41988,1.40215,2.58266,1.12728,1.38349,0,0.000218,0.000218,0.000218
47,784.757,0.81568,1.3545,0.52408,1.00849,0,0.79483,0.59748,0.71472,0.43653,0.70702,0.68159,0.73154,0.42057,1.41891,2.43695,1.13798,1.3962,0,0.0001784,0.0001784,0.0001784
48,800.387,0.79904,1.35169,0.51172,0.99856,0,0.79674,0.59204,0.72004,0.44886,0.81682,0.60697,0.73484,0.42633,1.41779,2.51205,1.12261,1.39604,0,0.0001388,0.0001388,0.0001388
49,816.128,0.78651,1.31102,0.48631,0.98586,0,0.789,0.59204,0.71859,0.44364,0.70535,0.68159,0.74118,0.42364,1.42383,2.52146,1.16747,1.38253,0,9.92e-05,9.92e-05,9.92e-05
50,831.392,0.78887,1.33139,0.49467,0.99551,0,0.80307,0.58838,0.71616,0.44469,0.75644,0.64677,0.73846,0.42418,1.42015,2.47907,1.14105,1.39291,0,5.96e-05,5.96e-05,5.96e-05
